Students,Test_1,In_01,In_02,In_06,Midterm,Lab_01,Test_2,CP_Step_0.1,CP_Step_0.2,HW_08_Part_2&_3,CP_Final,Final_Exam,Final Score,Final Grade
Student 1,95.45,30,75,65,93,95,50,100,85,100,90.78,99,93.71,A
Student 2,77.27,50,75,70,84,75,100,100,98,102.5,91.1,100,97.22,A
Student 3,40.91,50,85,20,70.5,97,100,100,95,97.5,88.45,86,84.64,B
Student 4,73.64,50,80,30,91,75,81.25,100,98,97.5,91.1,90,96.66,A
Student 5,90.91,90,60,50,92,95,100,100,98,97.5,93.93,100,95.69,A
Student 6,73.64,85,90,70,84,85,100,100,85,102.5,114.95,80,97.18,A
Student 7,86.36,80,80,50,86,75,87.5,100,98,97.5,93.93,74,87.09,B
Student 8,50,20,90,50,96,100,93.75,100,99,97.5,107.36,96,96.42,A
Student 9,63.64,60,97,75,79,60,87.5,100,85,100,90.78,98,87.95,B
Student 10,61.36,30,75,50,79,85,87.5,100,99,105,107.36,98,95.12,A
Student 11,95.45,100,80,60,91,90,100,100,95,105,88.45,100,101.44,A
Student 12,63.64,97,100,30,85,95,100,100,85,110,114.95,87,96.9,A
Student 13,49.09,90,20,75,88,90,87.5,125,85,97.5,87.18,80,82.04,B
Student 14,50,50,50,0,65,95,93.33,100,100,100,86.7,82,69.96,D
Student 15,85.71,50,50,60,44,90,33.33,100,100,90,79.82,53,82.48,B
Student 16,71.43,30,50,0,64,95,93.33,100,100,100,82.88,88,86.91,B
Student 17,85.71,0,0,70,83,95,86.67,100,100,100,83.03,91,91.44,A
Student 18,78.57,100,50,0,92,95,86.67,100,100,100,84.7,95,86.64,B
Student 19,0,90,0,50,80,100,73.33,100,100,100,96.21,83,82.94,B
Student 20,57.14,0,0,60,72,100,100,100,100,100,93.68,72,85.63,B
Student 21,50,0,0,0,71,90,106.67,100,100,100,105.13,86,69.66,D
Student 22,21.43,0,0,0,44,85,73.33,100,100,100,79.82,70,98,A
Student 23,78.57,100,95,75,77,95,46.67,100,100,100,117.81,92,84.41,B
Student 24,100,80,50,95,77,95,73.33,100,100,100,75.04,77,94.84,A
Student 25,92.86,100,0,75,85,100,86.67,100,100,100,93.68,99,91.67,A
Student 26,78.57,90,50,40,86,95,60,100,100,110,90.84,89,93.13,A
Student 27,50,0,100,40,75,95,100,100,100,110,105.13,96,85.31,B
Student 28,100,0,0,50,85,95,60,100,100,110,85.03,79,95.14,A
Student 29,57.14,80,80,100,93,95,106.67,100,100,100,94.21,88,81.28,B
Student 30,78.57,0,0,0,63,95,86.67,100,100,100,84.88,89,91.4,A
Student 31,71.43,75,100,80,91,95,100,100,90,100,79.49,92,80.81,B
Student 32,0,75,0,10,84,95,0,100,100,100,77.04,89,89.87,B
Student 33,64.29,90,50,70,85,95,40,100,100,100,92.84,85,88.7,B
Student 34,0,70,85,75,79,95,100,100,90,100,79.49,99,58.67,F
Student 35,94.12,0,0,0,54.55,95,0,100,90,0,84.34,58,97.28,A
Student 36,100,85,80,100,89.09,105,87.5,100,95,100,93.65,100,89.79,B
Student 37,58.82,50,85,75,85.45,97,87.5,100,90,85,89.03,95,95.81,A
Student 38,58.82,70,100,85,97.27,90,93.75,100,95,100,102.3,97,42.5,F
Student 39,88.24,60,80,85,81.82,0,75,0,0,0,0,73,89.73,B
Student 40,82.35,85,75,80,88.18,110,75,100,95,70,90.65,91,95.84,A
Student 41,94.12,90,85,90,97.27,95,125,100,95,95,92.71,97,92.16,A
Student 42,94.12,90,80,90,97.27,105,81.25,100,95,99,92.71,80,92.24,A
Student 43,70.59,60,80,85,76.36,95,125,100,90,90,91.56,95,100.61,A
Student 44,82.35,100,100,80,97.27,105,125,100,105,110,89.31,98,83.65,B
Student 45,58.82,0,0,50,64.55,90,87.5,100,105,99,89.31,91,99.1,A
Student 46,76.47,90,60,100,90,95,75,100,90,110,107.38,91,83.63,B
Student 47,76.47,0,0,80,84.55,90,125,100,75,100,76.09,89,96.07,A
Student 48,76.47,100,100,100,93.64,95,87.5,100,95,95,101.3,97,97.32,A
Student 49,58.82,60,95,90,91.82,95,81.25,100,90,99,90.56,100,97.74,A
Student 50,100,90,99,85,95.45,124,87.5,100,75,95,99.62,98,96.28,A
Student 51,58.82,90,80,95,92.73,99,75,100,90,105,105.38,91,89.56,B
Student 52,76.47,60,95,85,90.91,85,81.25,100,90,80,85.03,98,87.01,B
Student 53,88.24,75,80,85,76.36,75,56.25,100,90,100,87.34,89,79.4,C
Student 54,64.71,30,85,85,82.73,90,56.25,100,75,100,75.09,80,82.06,B
Student 55,63.64,20,20,40,69,100,81.25,90,75,100,82.59,116.2,82.06,B
Student 56,68.18,100,100,70,85,95,75,95,95,100,94.59,102.2,87.41,B
Student 57,63.64,100,40,80,90,95,93.75,100,95,100,107.29,135.8,97.22,A
Student 58,45.45,60,40,80,84,85,43.75,90,75,100,98.49,102.2,83.04,B
Student 59,86.36,80,100,60,84,95,100,95,95,110,94.59,128.8,93.67,A
Student 60,72.73,40,40,100,93,110,87.5,95,90,100,118.74,121.8,98.63,A
Student 61,59.09,60,20,70,85,95,68.75,90,75,95,82.63,103.6,79.68,C
Student 62,45.45,80,60,50,88,105,75,95,90,110,118.74,134.4,103.89,A
Student 63,45.45,40,40,60,68,95,75,95,80,100,84.03,113.4,79.64,C
Student 64,50,0,0,80,85,95,50,95,85,100,102.03,135.8,92.72,A
Student 65,59.09,20,40,20,67,71.25,81.25,95,80,100,84.03,126,79.78,C
Student 66,59.09,40,60,80,87,97.5,62.5,90,75,95,84.63,134.4,89.79,B
Student 67,40.91,20,40,60,97,85,100,100,95,105,97.61,113.4,89.07,B
Student 68,77.27,20,100,30,87,90,87.5,90,75,100,82.59,124.6,86.34,B
Student 69,95.45,20,100,60,87,125,100,100,95,0,97.61,133,92.62,A
Student 70,50,80,20,80,81,100,100,90,75,95,98.49,138.6,92.25,A
Student 71,59.09,60,60,50,83,95,68.75,95,85,105,104.03,112,87.93,B
Student 72,72.73,100,80,70,94,85,75,100,95,100,107.29,107.8,95.72,A
Student 73,63.64,50,90,95,88,97,81.25,105,100,102.5,99.72,79,102.66,A
Student 74,63.64,0,70,85,92,90,100,100,95,97.5,83,83,87.65,B
Student 75,18.18,50,50,25,91,92,100,100,95,97.5,72.45,96,85.74,B
Student 76,45.45,80,90,60,95,100,100,105,100,97.5,99.72,100,100.76,A
Student 77,59.09,75,100,50,89,90,81.25,100,95,97.5,83,95,89.75,B
Student 78,72.73,100,100,90,84,105,93.75,100,95,97.5,72.45,72,86.64,B
Student 79,86.36,80,100,60,90.5,85,68.75,100,95,97.5,78.21,94,89.79,B
Student 80,27.27,80,85,50,81.5,97,75,100,95,97.5,78.21,61,79.59,C
Student 81,100,70,100,50,87.5,95,100,100,95,97.5,89.49,98,95.75,A
Student 82,86.36,50,0,40,90,90,81.25,105,98,97.5,81.8,71,83.58,B
Student 83,86.36,30,98,40,81,75,100,105,98,102.5,81.8,85,87.14,B
Student 84,81.82,0,90,65,92,85,93.75,100,95,97.5,89.49,94,93.25,A
